+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.00
Number of points: 50001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 50001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           0.89           0.66           9.47
           0.89           0.66           9.47
           0.89           0.66           9.46
           0.90           0.65           9.45
           0.90           0.65           9.45
           0.90           0.65           9.44
           0.90           0.64           9.44
           0.90           0.64           9.43
           0.91           0.64           9.42
           0.91           0.63           9.42
           0.91           0.63           9.41
           0.91           0.63           9.40
           0.91           0.62           9.40
           0.92           0.62           9.39
           0.92           0.62           9.38
           0.92           0.61           9.38
           0.92           0.61           9.37
           0.92           0.61           9.37
           0.93           0.60           9.36
           0.93           0.60           9.35
           0.93           0.60           9.35
           0.93           0.59           9.34
           0.93           0.59           9.33
           0.94           0.59           9.33
           0.94           0.58           9.32
           0.94           0.58           9.31
           0.94           0.58           9.31
           0.94           0.58           9.30
           0.95           0.57           9.30
           0.95           0.57           9.29
           0.95           0.57           9.28
           0.95           0.56           9.28
           0.95           0.56           9.27
           0.96           0.56           9.26
           0.96           0.55           9.26
           0.96           0.55           9.25
           0.96           0.55           9.24
           0.96           0.55           9.24
           0.97           0.54           9.23
           0.97           0.54           9.23
           0.97           0.54           9.22
           0.97           0.54           9.21
           0.97           0.53           9.21
           0.98           0.53           9.20
           0.98           0.53           9.19
           0.98           0.52           9.19
           0.98           0.52           9.18
           0.98           0.52           9.17
           0.99           0.52           9.17
           0.99           0.51           9.16
           0.99           0.51           9.16
           0.99           0.51           9.15
           0.99           0.51           9.14
           1.00           0.50           9.14
           1.00           0.50           9.13
           1.00           0.50           9.12
           1.00           0.50           9.12
           1.00           0.49           9.11
           1.01           0.49           9.10
           1.01           0.49           9.10
           1.01           0.49           9.09
           1.01           0.48           9.09
           1.01           0.48           9.08
           1.02           0.48           9.07
           1.02           0.48           9.07
           1.02           0.47           9.06
           1.02           0.47           9.05
           1.02           0.47           9.05
           1.03           0.47           9.04
           1.03           0.46           9.03
           1.03           0.46           9.03
           1.03           0.46           9.02
           1.03           0.46           9.01
           1.04           0.45           9.01
           1.04           0.45           9.00
           1.04           0.45           9.00
           1.04           0.45           8.99
           1.04           0.45           8.98
           1.05           0.44           8.98
           1.05           0.44           8.97
           1.05           0.44           8.96
           1.05           0.44           8.96
           1.05           0.43           8.95
           1.06           0.43           8.94
           1.06           0.43           8.94
           1.06           0.43           8.93
           1.06           0.43           8.93
           1.06           0.42           8.92
           1.07           0.42           8.91
           1.07           0.42           8.91
           1.07           0.42           8.90
           1.07           0.42           8.89
           1.07           0.41           8.89
           1.08           0.41           8.88
           1.08           0.41           8.87
           1.08           0.41           8.87
           1.08           0.41           8.86
           1.08           0.40           8.86
           1.09           0.40           8.85
           1.09           0.40           8.84
           1.09           0.40           8.84
           1.09           0.40           8.83
           1.09           0.39           8.82
           1.10           0.39           8.82
           1.10           0.39           8.81
           1.10           0.39           8.80
           1.10           0.39           8.80
           1.10           0.38           8.79
           1.11           0.38           8.79
           1.11           0.38           8.78
           1.11           0.38           8.77
           1.11           0.38           8.77
           1.11           0.38           8.76
           1.12           0.37           8.75
           1.12           0.37           8.75
           1.12           0.37           8.74
           1.12           0.37           8.73
           1.12           0.37           8.73
           1.13           0.36           8.72
           1.13           0.36           8.72
           1.13           0.36           8.71
           1.13           0.36           8.70
           1.13           0.36           8.70
           1.14           0.36           8.69
           1.14           0.35           8.68
           1.14           0.35           8.68
           1.14           0.35           8.67
           1.14           0.35           8.66
           1.15           0.35           8.66
           1.15           0.35           8.65
           1.15           0.34           8.65
           1.15           0.34           8.64
           1.15           0.34           8.63
           1.16           0.34           8.63
           1.16           0.34           8.62
           1.16           0.34           8.61
           1.16           0.34           8.61
           1.16           0.33           8.60
           1.17           0.33           8.60
           1.17           0.33           8.59
