------------------------------
      t       Prey   Predator
    369.00      0.00    363.92
    370.00      0.00    362.10
    371.00      0.00    360.29
    372.00      0.00    358.49
    373.00      0.00    356.70
    374.00      0.00    354.92
    375.00      0.00    353.14
    376.00      0.00    351.38
    377.00      0.00    349.62
    378.00      0.00    347.87
    379.00      0.00    346.13
    380.00      0.00    344.40
    381.00      0.00    342.68
    382.00      0.00    340.97
    383.00      0.00    339.26
    384.00      0.00    337.56
    385.00      0.00    335.88
    386.00      0.00    334.20
    387.00      0.00    332.53
    388.00      0.00    330.86
    389.00      0.00    329.21
    390.00      0.00    327.56
    391.00      0.00    325.93
    392.00      0.00    324.30
    393.00      0.00    322.67
    394.00      0.00    321.06
    395.00      0.00    319.46
    396.00      0.00    317.86
    397.00      0.00    316.27
    398.00      0.00    314.69
    399.00      0.00    313.11
    400.00      0.00    311.55
    401.00      0.00    309.99
    402.00      0.00    308.44
    403.00      0.00    306.90
    404.00      0.00    305.36
    405.00      0.00    303.84
    406.00      0.00    302.32
    407.00      0.00    300.81
    408.00      0.00    299.30
    409.00      0.00    297.81
    410.00      0.00    296.32
    411.00      0.00    294.84
    412.00      0.00    293.36
    413.00      0.00    291.89
    414.00      0.00    290.44
    415.00      0.00    288.98
    416.00      0.00    287.54
    417.00      0.00    286.10
    418.00      0.00    284.67
    419.00      0.00    283.25
    420.00      0.00    281.83
    421.00      0.00    280.42
    422.00      0.00    279.02
    423.00      0.00    277.62
    424.00      0.00    276.24
    425.00      0.00    274.85
    426.00      0.00    273.48
    427.00      0.00    272.11
    428.00      0.00    270.75
    429.00      0.00    269.40
    430.00      0.00    268.05
    431.00      0.00    266.71
    432.00      0.00    265.38
    433.00      0.00    264.05
    434.00      0.00    262.73
    435.00      0.00    261.42
    436.00      0.00    260.11
    437.00      0.00    258.81
    438.00      0.00    257.52
    439.00      0.00    256.23
    440.00      0.00    254.95
    441.00      0.00    253.67
    442.00      0.00    252.40
    443.00      0.00    251.14
    444.00      0.00    249.89
    445.00      0.00    248.64
    446.00      0.00    247.39
    447.00      0.00    246.16
    448.00      0.00    244.93
    449.00      0.00    243.70
    450.00      0.00    242.48
    451.00      0.00    241.27
    452.00      0.00    240.06
    453.00      0.00    238.86
    454.00      0.00    237.67
    455.00      0.00    236.48
    456.00      0.00    235.30
    457.00      0.00    234.12
    458.00      0.00    232.95
    459.00      0.00    231.79
    460.00      0.00    230.63
    461.00      0.00    229.47
    462.00      0.00    228.33
    463.00      0.00    227.19
    464.00      0.00    226.05
    465.00      0.00    224.92
    466.00      0.00    223.79
    467.00      0.00    222.68
    468.00      0.00    221.56
    469.00      0.00    220.45
    470.00      0.00    219.35
    471.00      0.00    218.26
    472.00      0.00    217.16
    473.00      0.00    216.08
    474.00      0.00    215.00
    475.00      0.00    213.92
    476.00      0.00    212.85
    477.00      0.00    211.79
    478.00      0.00    210.73
    479.00      0.00    209.68
    480.00      0.00    208.63
    481.00      0.00    207.58
    482.00      0.00    206.55
    483.00      0.00    205.51
    484.00      0.00    204.49
    485.00      0.00    203.46
    486.00      0.00    202.45
    487.00      0.00    201.43
    488.00      0.00    200.43
    489.00      0.00    199.43
    490.00      0.00    198.43
    491.00      0.00    197.44
    492.00      0.00    196.45
    493.00      0.00    195.47
    494.00      0.00    194.49
    495.00      0.00    193.52
    496.00      0.00    192.55
    497.00      0.00    191.59
    498.00      0.00    190.63
    499.00      0.00    189.68
    500.00      0.00    188.73
    501.00      0.00    187.78
    502.00      0.00    186.84
    503.00      0.00    185.91
    504.00      0.00    184.98
    505.00      0.00    184.06
    506.00      0.00    183.14
    507.00      0.00    182.22
    508.00      0.00    181.31
    509.00      0.00    180.40
    510.00      0.00    179.50
    511.00      0.00    178.60
    512.00      0.00    177.71
    513.00      0.00    176.82
    514.00      0.00    175.94
    515.00      0.00    175.06
    516.00      0.00    174.18
    517.00      0.00    173.31
    518.00      0.00    172.44
    519.00      0.00    171.58
    520.00      0.00    170.72
    521.00      0.00    169.87
    522.00      0.00    169.02
    523.00      0.00    168.18
    524.00      0.00    167.34
    525.00      0.00    166.50
    526.00      0.00    165.67
    527.00      0.00    164.84
    528.00      0.00    164.01
    529.00      0.00    163.19
    530.00      0.00    162.38
    531.00      0.00    161.57
    532.00      0.00    160.76
    533.00      0.00    159.95
    534.00      0.00    159.15
    535.00      0.00    158.36
    536.00      0.00    157.57
    537.00      0.00    156.78
    538.00      0.00    156.00
    539.00      0.00    155.22
    540.00      0.00    154.44
    541.00      0.00    153.67
    542.00      0.00    152.90
    543.00      0.00    152.13
    544.00      0.00    151.37
    545.00      0.00    150.62
    546.00      0.00    149.86
