 +--------------------+
 | Program exercise13 |
 +--------------------+

 ----------------------------------------
         n        1/n**2          error
       323       1.641843       0.003091
       324       1.641852       0.003082
       325       1.641862       0.003072
       326       1.641871       0.003063
       327       1.641881       0.003053
       328       1.641890       0.003044
       329       1.641899       0.003035
       330       1.641908       0.003026
       331       1.641917       0.003017
       332       1.641927       0.003008
       333       1.641936       0.002998
       334       1.641945       0.002990
       335       1.641953       0.002981
       336       1.641962       0.002972
       337       1.641971       0.002963
       338       1.641980       0.002954
       339       1.641989       0.002946
       340       1.641997       0.002937
       341       1.642006       0.002928
       342       1.642014       0.002920
       343       1.642023       0.002911
       344       1.642031       0.002903
       345       1.642040       0.002894
       346       1.642048       0.002886
       347       1.642056       0.002878
       348       1.642065       0.002869
       349       1.642073       0.002861
       350       1.642081       0.002853
       351       1.642089       0.002845
       352       1.642097       0.002837
       353       1.642105       0.002829
       354       1.642113       0.002821
       355       1.642121       0.002813
       356       1.642129       0.002805
       357       1.642137       0.002797
       358       1.642145       0.002789
       359       1.642152       0.002782
       360       1.642160       0.002774
       361       1.642168       0.002766
       362       1.642175       0.002759
       363       1.642183       0.002751
       364       1.642191       0.002743
       365       1.642198       0.002736
       366       1.642206       0.002729
       367       1.642213       0.002721
       368       1.642220       0.002714
       369       1.642228       0.002706
       370       1.642235       0.002699
       371       1.642242       0.002692
       372       1.642250       0.002685
       373       1.642257       0.002677
       374       1.642264       0.002670
       375       1.642271       0.002663
       376       1.642278       0.002656
       377       1.642285       0.002649
       378       1.642292       0.002642
       379       1.642299       0.002635
       380       1.642306       0.002628
       381       1.642313       0.002621
       382       1.642320       0.002614
       383       1.642327       0.002608
       384       1.642333       0.002601
       385       1.642340       0.002594
       386       1.642347       0.002587
       387       1.642353       0.002581
       388       1.642360       0.002574
       389       1.642367       0.002567
       390       1.642373       0.002561
       391       1.642380       0.002554
       392       1.642386       0.002548
       393       1.642393       0.002541
       394       1.642399       0.002535
       395       1.642406       0.002528
       396       1.642412       0.002522
       397       1.642418       0.002516
       398       1.642425       0.002509
       399       1.642431       0.002503
       400       1.642437       0.002497
       401       1.642443       0.002491
       402       1.642450       0.002484
       403       1.642456       0.002478
       404       1.642462       0.002472
       405       1.642468       0.002466
       406       1.642474       0.002460
       407       1.642480       0.002454
       408       1.642486       0.002448
       409       1.642492       0.002442
       410       1.642498       0.002436
       411       1.642504       0.002430
       412       1.642510       0.002424
       413       1.642516       0.002418
       414       1.642522       0.002413
       415       1.642527       0.002407
       416       1.642533       0.002401
       417       1.642539       0.002395
       418       1.642545       0.002389
       419       1.642550       0.002384
       420       1.642556       0.002378
       421       1.642562       0.002372
       422       1.642567       0.002367
       423       1.642573       0.002361
       424       1.642578       0.002356
       425       1.642584       0.002350
       426       1.642589       0.002345
       427       1.642595       0.002339
       428       1.642600       0.002334
       429       1.642606       0.002328
       430       1.642611       0.002323
       431       1.642617       0.002317
       432       1.642622       0.002312
       433       1.642627       0.002307
       434       1.642633       0.002301
       435       1.642638       0.002296
       436       1.642643       0.002291
       437       1.642648       0.002286
       438       1.642654       0.002281
       439       1.642659       0.002275
       440       1.642664       0.002270
       441       1.642669       0.002265
       442       1.642674       0.002260
       443       1.642679       0.002255
       444       1.642684       0.002250
       445       1.642689       0.002245
       446       1.642694       0.002240
       447       1.642699       0.002235
       448       1.642704       0.002230
       449       1.642709       0.002225
       450       1.642714       0.002220
       451       1.642719       0.002215
       452       1.642724       0.002210
       453       1.642729       0.002205
       454       1.642734       0.002200
       455       1.642739       0.002195
       456       1.642743       0.002191
       457       1.642748       0.002186
       458       1.642753       0.002181
       459       1.642758       0.002176
       460       1.642763       0.002172
       461       1.642767       0.002167
       462       1.642772       0.002162
       463       1.642777       0.002157
       464       1.642781       0.002153
       465       1.642786       0.002148
       466       1.642790       0.002144
       467       1.642795       0.002139
       468       1.642800       0.002134
       469       1.642804       0.002130
       470       1.642809       0.002125
       471       1.642813       0.002121
       472       1.642818       0.002116
       473       1.642822       0.002112
       474       1.642827       0.002107
       475       1.642831       0.002103
       476       1.642835       0.002099
       477       1.642840       0.002094
       478       1.642844       0.002090
       479       1.642849       0.002086
       480       1.642853       0.002081
       481       1.642857       0.002077
       482       1.642862       0.002073
       483       1.642866       0.002068
       484       1.642870       0.002064
       485       1.642874       0.002060
       486       1.642879       0.002055
       487       1.642883       0.002051
       488       1.642887       0.002047
       489       1.642891       0.002043
       490       1.642895       0.002039
       491       1.642899       0.002035
       492       1.642904       0.002030
       493       1.642908       0.002026
       494       1.642912       0.002022
       495       1.642916       0.002018
       496       1.642920       0.002014
       497       1.642924       0.002010
       498       1.642928       0.002006
       499       1.642932       0.002002
       500       1.642936       0.001998
       501       1.642940       0.001994
       502       1.642944       0.001990
       503       1.642948       0.001986
       504       1.642952       0.001982
       505       1.642956       0.001978
       506       1.642960       0.001974
       507       1.642964       0.001970
       508       1.642967       0.001967
       509       1.642971       0.001963
       510       1.642975       0.001959
       511       1.642979       0.001955
       512       1.642983       0.001951
       513       1.642987       0.001947
       514       1.642990       0.001944
       515       1.642994       0.001940
       516       1.642998       0.001936
       517       1.643002       0.001932
       518       1.643005       0.001929
       519       1.643009       0.001925
       520       1.643013       0.001921
       521       1.643017       0.001918
       522       1.643020       0.001914
       523       1.643024       0.001910
       524       1.643027       0.001907
       525       1.643031       0.001903
       526       1.643035       0.001899
       527       1.643038       0.001896
       528       1.643042       0.001892
       529       1.643045       0.001889
       530       1.643049       0.001885
       531       1.643053       0.001881
       532       1.643056       0.001878
       533       1.643060       0.001874
       534       1.643063       0.001871
       535       1.643067       0.001867
       536       1.643070       0.001864
       537       1.643074       0.001860
       538       1.643077       0.001857
       539       1.643080       0.001854
       540       1.643084       0.001850
       541       1.643087       0.001847
       542       1.643091       0.001843
       543       1.643094       0.001840
       544       1.643098       0.001837
       545       1.643101       0.001833
       546       1.643104       0.001830
       547       1.643108       0.001826
       548       1.643111       0.001823
       549       1.643114       0.001820
       550       1.643118       0.001817
       551       1.643121       0.001813
       552       1.643124       0.001810
       553       1.643127       0.001807
       554       1.643131       0.001803
       555       1.643134       0.001800
       556       1.643137       0.001797
       557       1.643140       0.001794
       558       1.643144       0.001791
       559       1.643147       0.001787
       560       1.643150       0.001784
       561       1.643153       0.001781
       562       1.643156       0.001778
       563       1.643159       0.001775
       564       1.643163       0.001771
       565       1.643166       0.001768
       566       1.643169       0.001765
       567       1.643172       0.001762
       568       1.643175       0.001759
       569       1.643178       0.001756
       570       1.643181       0.001753
       571       1.643184       0.001750
       572       1.643187       0.001747
       573       1.643190       0.001744
       574       1.643193       0.001741
       575       1.643196       0.001738
       576       1.643199       0.001735
       577       1.643202       0.001732
       578       1.643205       0.001729
       579       1.643208       0.001726
       580       1.643211       0.001723
       581       1.643214       0.001720
       582       1.643217       0.001717
       583       1.643220       0.001714
       584       1.643223       0.001711
       585       1.643226       0.001708
       586       1.643229       0.001705
       587       1.643232       0.001702
       588       1.643235       0.001699
       589       1.643238       0.001696
       590       1.643241       0.001693
       591       1.643243       0.001691
       592       1.643246       0.001688
       593       1.643249       0.001685
       594       1.643252       0.001682
       595       1.643255       0.001679
       596       1.643258       0.001676
       597       1.643260       0.001674
       598       1.643263       0.001671
       599       1.643266       0.001668
       600       1.643269       0.001665
       601       1.643272       0.001663
       602       1.643274       0.001660
       603       1.643277       0.001657
       604       1.643280       0.001654
       605       1.643283       0.001652
       606       1.643285       0.001649
       607       1.643288       0.001646
       608       1.643291       0.001643
       609       1.643293       0.001641
       610       1.643296       0.001638
       611       1.643299       0.001635
       612       1.643301       0.001633
       613       1.643304       0.001630
       614       1.643307       0.001627
       615       1.643309       0.001625
       616       1.643312       0.001622
       617       1.643315       0.001619
       618       1.643317       0.001617
       619       1.643320       0.001614
       620       1.643322       0.001612
       621       1.643325       0.001609
       622       1.643328       0.001606
       623       1.643330       0.001604
       624       1.643333       0.001601
       625       1.643335       0.001599
       626       1.643338       0.001596
       627       1.643340       0.001594
       628       1.643343       0.001591
       629       1.643346       0.001589
       630       1.643348       0.001586
       631       1.643351       0.001584
       632       1.643353       0.001581
       633       1.643356       0.001579
       634       1.643358       0.001576
       635       1.643361       0.001574
       636       1.643363       0.001571
       637       1.643365       0.001569
       638       1.643368       0.001566
       639       1.643370       0.001564
       640       1.643373       0.001561
       641       1.643375       0.001559
       642       1.643378       0.001556
       643       1.643380       0.001554
       644       1.643382       0.001552
       645       1.643385       0.001549
       646       1.643387       0.001547
       647       1.643390       0.001544
       648       1.643392       0.001542
       649       1.643394       0.001540
       650       1.643397       0.001537
       651       1.643399       0.001535
       652       1.643402       0.001533
       653       1.643404       0.001530
       654       1.643406       0.001528
       655       1.643409       0.001526
       656       1.643411       0.001523
       657       1.643413       0.001521
       658       1.643415       0.001519
       659       1.643418       0.001516
       660       1.643420       0.001514
       661       1.643422       0.001512
       662       1.643425       0.001509
       663       1.643427       0.001507
       664       1.643429       0.001505
       665       1.643431       0.001503
       666       1.643434       0.001500
       667       1.643436       0.001498
       668       1.643438       0.001496
       669       1.643440       0.001494
       670       1.643443       0.001491
       671       1.643445       0.001489
       672       1.643447       0.001487
       673       1.643449       0.001485
       674       1.643451       0.001483
       675       1.643454       0.001480
       676       1.643456       0.001478
       677       1.643458       0.001476
       678       1.643460       0.001474
       679       1.643462       0.001472
       680       1.643465       0.001470
       681       1.643467       0.001467
       682       1.643469       0.001465
       683       1.643471       0.001463
       684       1.643473       0.001461
       685       1.643475       0.001459
       686       1.643477       0.001457
       687       1.643480       0.001455
       688       1.643482       0.001452
       689       1.643484       0.001450
       690       1.643486       0.001448
       691       1.643488       0.001446
       692       1.643490       0.001444
       693       1.643492       0.001442
       694       1.643494       0.001440
       695       1.643496       0.001438
       696       1.643498       0.001436
       697       1.643500       0.001434
       698       1.643502       0.001432
       699       1.643504       0.001430
       700       1.643507       0.001428
       701       1.643509       0.001426
       702       1.643511       0.001423
       703       1.643513       0.001421
       704       1.643515       0.001419
       705       1.643517       0.001417
       706       1.643519       0.001415
       707       1.643521       0.001413
       708       1.643523       0.001411
       709       1.643525       0.001409
       710       1.643527       0.001407
       711       1.643529       0.001405
       712       1.643531       0.001404
       713       1.643533       0.001402
       714       1.643534       0.001400
       715       1.643536       0.001398
       716       1.643538       0.001396
       717       1.643540       0.001394
       718       1.643542       0.001392
       719       1.643544       0.001390
       720       1.643546       0.001388
       721       1.643548       0.001386
       722       1.643550       0.001384
       723       1.643552       0.001382
       724       1.643554       0.001380
       725       1.643556       0.001378
       726       1.643558       0.001376
       727       1.643559       0.001375
       728       1.643561       0.001373
       729       1.643563       0.001371
       730       1.643565       0.001369
       731       1.643567       0.001367
       732       1.643569       0.001365
       733       1.643571       0.001363
       734       1.643573       0.001361
       735       1.643574       0.001360
       736       1.643576       0.001358
       737       1.643578       0.001356
       738       1.643580       0.001354
       739       1.643582       0.001352
       740       1.643584       0.001350
       741       1.643585       0.001349
       742       1.643587       0.001347
       743       1.643589       0.001345
       744       1.643591       0.001343
       745       1.643593       0.001341
       746       1.643594       0.001340
       747       1.643596       0.001338
       748       1.643598       0.001336
       749       1.643600       0.001334
       750       1.643602       0.001332
       751       1.643603       0.001331
       752       1.643605       0.001329
       753       1.643607       0.001327
       754       1.643609       0.001325
       755       1.643610       0.001324
       756       1.643612       0.001322
       757       1.643614       0.001320
       758       1.643616       0.001318
       759       1.643617       0.001317
       760       1.643619       0.001315
       761       1.643621       0.001313
       762       1.643623       0.001311
       763       1.643624       0.001310
       764       1.643626       0.001308
       765       1.643628       0.001306
       766       1.643629       0.001305
       767       1.643631       0.001303
