+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
          50.86           0.15           0.62
          50.87           0.15           0.62
          50.87           0.15           0.62
          50.88           0.15           0.62
          50.88           0.15           0.62
          50.88           0.15           0.62
          50.89           0.15           0.61
          50.90           0.15           0.61
          50.90           0.15           0.61
          50.91           0.16           0.61
          50.91           0.16           0.61
          50.91           0.16           0.61
          50.92           0.16           0.61
          50.93           0.16           0.61
          50.93           0.16           0.61
          50.94           0.16           0.60
          50.94           0.16           0.60
          50.95           0.16           0.60
          50.95           0.16           0.60
          50.95           0.16           0.60
          50.96           0.16           0.60
          50.97           0.16           0.60
          50.97           0.16           0.60
          50.98           0.16           0.60
          50.98           0.17           0.59
          50.98           0.17           0.59
          50.99           0.17           0.59
          51.00           0.17           0.59
          51.00           0.17           0.59
          51.01           0.17           0.59
          51.01           0.17           0.59
          51.02           0.17           0.59
          51.02           0.17           0.59
          51.02           0.17           0.58
          51.03           0.17           0.58
          51.04           0.17           0.58
          51.04           0.17           0.58
          51.05           0.18           0.58
          51.05           0.18           0.58
          51.05           0.18           0.58
          51.06           0.18           0.58
          51.06           0.18           0.58
          51.07           0.18           0.57
          51.08           0.18           0.57
          51.08           0.18           0.57
          51.09           0.18           0.57
          51.09           0.18           0.57
          51.09           0.18           0.57
          51.10           0.18           0.57
          51.11           0.18           0.57
          51.11           0.19           0.57
          51.12           0.19           0.56
          51.12           0.19           0.56
          51.12           0.19           0.56
          51.13           0.19           0.56
          51.13           0.19           0.56
          51.14           0.19           0.56
          51.15           0.19           0.56
          51.15           0.19           0.56
          51.16           0.19           0.56
          51.16           0.19           0.55
          51.16           0.19           0.55
          51.17           0.20           0.55
          51.18           0.20           0.55
          51.18           0.20           0.55
          51.19           0.20           0.55
          51.19           0.20           0.55
          51.20           0.20           0.55
          51.20           0.20           0.55
          51.20           0.20           0.55
          51.21           0.20           0.54
          51.22           0.20           0.54
          51.22           0.20           0.54
          51.23           0.21           0.54
          51.23           0.21           0.54
          51.23           0.21           0.54
          51.24           0.21           0.54
          51.25           0.21           0.54
          51.25           0.21           0.54
          51.26           0.21           0.53
          51.26           0.21           0.53
          51.27           0.21           0.53
          51.27           0.21           0.53
          51.27           0.21           0.53
          51.28           0.22           0.53
          51.29           0.22           0.53
          51.29           0.22           0.53
          51.30           0.22           0.53
          51.30           0.22           0.53
          51.30           0.22           0.52
          51.31           0.22           0.52
          51.31           0.22           0.52
          51.32           0.22           0.52
          51.33           0.22           0.52
          51.33           0.23           0.52
          51.34           0.23           0.52
          51.34           0.23           0.52
          51.34           0.23           0.52
          51.35           0.23           0.52
          51.36           0.23           0.52
          51.36           0.23           0.51
          51.37           0.23           0.51
          51.37           0.23           0.51
          51.38           0.23           0.51
          51.38           0.24           0.51
          51.38           0.24           0.51
          51.39           0.24           0.51
          51.40           0.24           0.51
          51.40           0.24           0.51
          51.41           0.24           0.51
          51.41           0.24           0.50
          51.41           0.24           0.50
          51.42           0.24           0.50
          51.43           0.25           0.50
          51.43           0.25           0.50
          51.44           0.25           0.50
          51.44           0.25           0.50
          51.45           0.25           0.50
          51.45           0.25           0.50
          51.45           0.25           0.50
          51.46           0.25           0.50
          51.47           0.25           0.49
          51.47           0.26           0.49
          51.48           0.26           0.49
          51.48           0.26           0.49
          51.48           0.26           0.49
          51.49           0.26           0.49
          51.50           0.26           0.49
          51.50           0.26           0.49
          51.51           0.26           0.49
          51.51           0.26           0.49
          51.52           0.27           0.49
          51.52           0.27           0.48
          51.52           0.27           0.48
          51.53           0.27           0.48
          51.54           0.27           0.48
          51.54           0.27           0.48
          51.55           0.27           0.48
          51.55           0.27           0.48
          51.55           0.28           0.48
          51.56           0.28           0.48
          51.56           0.28           0.48
          51.57           0.28           0.48
          51.58           0.28           0.47
          51.58           0.28           0.47
          51.59           0.28           0.47
          51.59           0.28           0.47
          51.59           0.29           0.47
          51.60           0.29           0.47
          51.61           0.29           0.47
          51.61           0.29           0.47
          51.62           0.29           0.47
          51.62           0.29           0.47
          51.62           0.29           0.47
          51.63           0.30           0.46
          51.63           0.30           0.46
          51.64           0.30           0.46
          51.65           0.30           0.46
          51.65           0.30           0.46
          51.66           0.30           0.46
          51.66           0.30           0.46
          51.66           0.31           0.46
          51.67           0.31           0.46
          51.68           0.31           0.46
          51.68           0.31           0.46
          51.69           0.31           0.46
          51.69           0.31           0.45
          51.70           0.31           0.45
          51.70           0.31           0.45
          51.70           0.32           0.45
          51.71           0.32           0.45
          51.72           0.32           0.45
          51.72           0.32           0.45
          51.73           0.32           0.45
          51.73           0.32           0.45
          51.73           0.33           0.45
          51.74           0.33           0.45
          51.75           0.33           0.45
          51.75           0.33           0.44
          51.76           0.33           0.44
          51.76           0.33           0.44
          51.77           0.33           0.44
          51.77           0.34           0.44
          51.77           0.34           0.44
          51.78           0.34           0.44
          51.79           0.34           0.44
          51.79           0.34           0.44
          51.80           0.34           0.44
          51.80           0.35           0.44
          51.80           0.35           0.44
          51.81           0.35           0.43
          51.81           0.35           0.43
          51.82           0.35           0.43
          51.83           0.35           0.43
          51.83           0.36           0.43
          51.84           0.36           0.43
          51.84           0.36           0.43
          51.84           0.36           0.43
          51.85           0.36           0.43
          51.86           0.36           0.43
          51.86           0.37           0.43
          51.87           0.37           0.43
          51.87           0.37           0.43
          51.88           0.37           0.42
          51.88           0.37           0.42
          51.88           0.37           0.42
          51.89           0.38           0.42
          51.90           0.38           0.42
          51.90           0.38           0.42
          51.91           0.38           0.42
          51.91           0.38           0.42
          51.91           0.38           0.42
          51.92           0.39           0.42
          51.93           0.39           0.42
          51.93           0.39           0.42
          51.94           0.39           0.42
          51.94           0.39           0.41
          51.95           0.40           0.41
          51.95           0.40           0.41
          51.95           0.40           0.41
          51.96           0.40           0.41
          51.97           0.40           0.41
          51.97           0.40           0.41
          51.98           0.41           0.41
          51.98           0.41           0.41
          51.98           0.41           0.41
          51.99           0.41           0.41
          52.00           0.41           0.41
          52.00           0.42           0.41
          52.01           0.42           0.41
          52.01           0.42           0.40
          52.02           0.42           0.40
          52.02           0.42           0.40
          52.02           0.43           0.40
          52.03           0.43           0.40
          52.04           0.43           0.40
          52.04           0.43           0.40
          52.05           0.43           0.40
          52.05           0.44           0.40
          52.05           0.44           0.40
          52.06           0.44           0.40
          52.06           0.44           0.40
          52.07           0.44           0.40
          52.08           0.45           0.40
          52.08           0.45           0.39
          52.09           0.45           0.39
          52.09           0.45           0.39
          52.09           0.45           0.39
          52.10           0.46           0.39
          52.11           0.46           0.39
          52.11           0.46           0.39
          52.12           0.46           0.39
          52.12           0.47           0.39
          52.12           0.47           0.39
          52.13           0.47           0.39
          52.13           0.47           0.39
          52.14           0.47           0.39
          52.15           0.48           0.39
          52.15           0.48           0.38
          52.16           0.48           0.38
          52.16           0.48           0.38
          52.16           0.49           0.38
          52.17           0.49           0.38
          52.18           0.49           0.38
          52.18           0.49           0.38
          52.19           0.50           0.38
          52.19           0.50           0.38
          52.20           0.50           0.38
          52.20           0.50           0.38
          52.20           0.50           0.38
          52.21           0.51           0.38
          52.22           0.51           0.38
          52.22           0.51           0.38
          52.23           0.51           0.38
          52.23           0.52           0.37
          52.23           0.52           0.37
          52.24           0.52           0.37
          52.25           0.52           0.37
          52.25           0.53           0.37
          52.26           0.53           0.37
          52.26           0.53           0.37
          52.27           0.53           0.37
          52.27           0.54           0.37
          52.27           0.54           0.37
          52.28           0.54           0.37
          52.29           0.54           0.37
          52.29           0.55           0.37
          52.30           0.55           0.37
          52.30           0.55           0.37
          52.30           0.56           0.36
          52.31           0.56           0.36
          52.31           0.56           0.36
          52.32           0.56           0.36
          52.33           0.57           0.36
          52.33           0.57           0.36
          52.34           0.57           0.36
          52.34           0.57           0.36
          52.34           0.58           0.36
          52.35           0.58           0.36
          52.36           0.58           0.36
          52.36           0.59           0.36
          52.37           0.59           0.36
          52.37           0.59           0.36
          52.38           0.59           0.36
          52.38           0.60           0.36
          52.38           0.60           0.35
          52.39           0.60           0.35
          52.40           0.61           0.35
          52.40           0.61           0.35
          52.41           0.61           0.35
          52.41           0.61           0.35
          52.41           0.62           0.35
          52.42           0.62           0.35
          52.43           0.62           0.35
          52.43           0.63           0.35
          52.44           0.63           0.35
          52.44           0.63           0.35
          52.45           0.63           0.35
          52.45           0.64           0.35
          52.45           0.64           0.35
          52.46           0.64           0.35
          52.47           0.65           0.35
          52.47           0.65           0.34
          52.48           0.65           0.34
          52.48           0.66           0.34
          52.48           0.66           0.34
          52.49           0.66           0.34
          52.50           0.67           0.34
          52.50           0.67           0.34
          52.51           0.67           0.34
          52.51           0.68           0.34
          52.52           0.68           0.34
          52.52           0.68           0.34
          52.52           0.69           0.34
          52.53           0.69           0.34
          52.54           0.69           0.34
          52.54           0.70           0.34
          52.55           0.70           0.34
          52.55           0.70           0.34
          52.55           0.71           0.34
          52.56           0.71           0.33
          52.56           0.71           0.33
          52.57           0.72           0.33
          52.58           0.72           0.33
          52.58           0.72           0.33
          52.59           0.73           0.33
          52.59           0.73           0.33
          52.59           0.73           0.33
          52.60           0.74           0.33
          52.61           0.74           0.33
          52.61           0.74           0.33
          52.62           0.75           0.33
          52.62           0.75           0.33
          52.62           0.76           0.33
          52.63           0.76           0.33
          52.63           0.76           0.33
          52.64           0.77           0.33
          52.65           0.77           0.33
          52.65           0.77           0.33
          52.66           0.78           0.32
          52.66           0.78           0.32
          52.66           0.79           0.32
          52.67           0.79           0.32
          52.68           0.79           0.32
          52.68           0.80           0.32
          52.69           0.80           0.32
          52.69           0.80           0.32
          52.70           0.81           0.32
          52.70           0.81           0.32
          52.70           0.82           0.32
          52.71           0.82           0.32
          52.72           0.82           0.32
          52.72           0.83           0.32
          52.73           0.83           0.32
          52.73           0.84           0.32
          52.73           0.84           0.32
          52.74           0.84           0.32
          52.75           0.85           0.32
          52.75           0.85           0.31
          52.76           0.86           0.31
          52.76           0.86           0.31
          52.77           0.87           0.31
          52.77           0.87           0.31
          52.77           0.87           0.31
          52.78           0.88           0.31
          52.79           0.88           0.31
          52.79           0.89           0.31
          52.80           0.89           0.31
          52.80           0.90           0.31
          52.80           0.90           0.31
          52.81           0.90           0.31
          52.81           0.91           0.31
          52.82           0.91           0.31
          52.83           0.92           0.31
          52.83           0.92           0.31
          52.84           0.93           0.31
          52.84           0.93           0.31
          52.84           0.94           0.31
          52.85           0.94           0.31
          52.86           0.95           0.30
          52.86           0.95           0.30
          52.87           0.95           0.30
          52.87           0.96           0.30
          52.88           0.96           0.30
          52.88           0.97           0.30
          52.88           0.97           0.30
          52.89           0.98           0.30
          52.90           0.98           0.30
          52.90           0.99           0.30
          52.91           0.99           0.30
          52.91           1.00           0.30
          52.91           1.00           0.30
          52.92           1.01           0.30
          52.93           1.01           0.30
          52.93           1.02           0.30
          52.94           1.02           0.30
          52.94           1.03           0.30
          52.95           1.03           0.30
          52.95           1.04           0.30
          52.95           1.04           0.30
          52.96           1.05           0.30
          52.97           1.05           0.29
          52.97           1.06           0.29
          52.98           1.06           0.29
          52.98           1.07           0.29
          52.98           1.07           0.29
          52.99           1.08           0.29
          53.00           1.08           0.29
          53.00           1.09           0.29
          53.01           1.09           0.29
          53.01           1.10           0.29
          53.02           1.11           0.29
          53.02           1.11           0.29
          53.02           1.12           0.29
          53.03           1.12           0.29
          53.04           1.13           0.29
          53.04           1.13           0.29
          53.05           1.14           0.29
          53.05           1.14           0.29
          53.05           1.15           0.29
          53.06           1.16           0.29
          53.06           1.16           0.29
          53.07           1.17           0.29
          53.08           1.17           0.29
          53.08           1.18           0.29
          53.09           1.18           0.28
          53.09           1.19           0.28
          53.09           1.20           0.28
          53.10           1.20           0.28
          53.11           1.21           0.28
          53.11           1.21           0.28
          53.12           1.22           0.28
          53.12           1.23           0.28
          53.12           1.23           0.28
          53.13           1.24           0.28
          53.13           1.24           0.28
          53.14           1.25           0.28
          53.15           1.26           0.28
          53.15           1.26           0.28
          53.16           1.27           0.28
          53.16           1.28           0.28
          53.16           1.28           0.28
          53.17           1.29           0.28
          53.18           1.29           0.28
          53.18           1.30           0.28
          53.19           1.31           0.28
          53.19           1.31           0.28
          53.20           1.32           0.28
          53.20           1.33           0.28
          53.20           1.33           0.28
          53.21           1.34           0.28
          53.22           1.35           0.27
          53.22           1.35           0.27
          53.23           1.36           0.27
          53.23           1.37           0.27
          53.23           1.37           0.27
          53.24           1.38           0.27
          53.25           1.39           0.27
          53.25           1.39           0.27
          53.26           1.40           0.27
          53.26           1.41           0.27
          53.27           1.42           0.27
          53.27           1.42           0.27
          53.27           1.43           0.27
          53.28           1.44           0.27
          53.29           1.44           0.27
          53.29           1.45           0.27
          53.30           1.46           0.27
          53.30           1.47           0.27
          53.30           1.47           0.27
          53.31           1.48           0.27
          53.31           1.49           0.27
          53.32           1.49           0.27
          53.33           1.50           0.27
          53.33           1.51           0.27
          53.34           1.52           0.27
          53.34           1.52           0.27
          53.34           1.53           0.27
          53.35           1.54           0.27
          53.36           1.55           0.27
          53.36           1.56           0.26
          53.37           1.56           0.26
          53.37           1.57           0.26
          53.38           1.58           0.26
          53.38           1.59           0.26
          53.38           1.59           0.26
          53.39           1.60           0.26
          53.40           1.61           0.26
          53.40           1.62           0.26
          53.41           1.63           0.26
          53.41           1.63           0.26
          53.41           1.64           0.26
          53.42           1.65           0.26
          53.43           1.66           0.26
          53.43           1.67           0.26
          53.44           1.68           0.26
          53.44           1.68           0.26
          53.45           1.69           0.26
          53.45           1.70           0.26
          53.45           1.71           0.26
          53.46           1.72           0.26
          53.47           1.73           0.26
          53.47           1.74           0.26
          53.48           1.74           0.26
          53.48           1.75           0.26
          53.48           1.76           0.26
          53.49           1.77           0.26
          53.50           1.78           0.26
          53.50           1.79           0.26
          53.51           1.80           0.26
          53.51           1.81           0.26
          53.52           1.81           0.26
          53.52           1.82           0.26
          53.52           1.83           0.25
          53.53           1.84           0.25
          53.54           1.85           0.25
          53.54           1.86           0.25
          53.55           1.87           0.25
          53.55           1.88           0.25
          53.55           1.89           0.25
          53.56           1.90           0.25
          53.56           1.91           0.25
          53.57           1.92           0.25
          53.58           1.93           0.25
          53.58           1.94           0.25
          53.59           1.95           0.25
          53.59           1.96           0.25
          53.59           1.97           0.25
          53.60           1.98           0.25
          53.61           1.99           0.25
          53.61           2.00           0.25
          53.62           2.01           0.25
          53.62           2.02           0.25
          53.62           2.03           0.25
          53.63           2.04           0.25
          53.63           2.05           0.25
          53.64           2.06           0.25
          53.65           2.07           0.25
          53.65           2.08           0.25
          53.66           2.09           0.25
          53.66           2.10           0.25
          53.66           2.11           0.25
          53.67           2.12           0.25
          53.68           2.13           0.25
          53.68           2.14           0.25
          53.69           2.15           0.25
          53.69           2.16           0.25
          53.70           2.17           0.25
          53.70           2.18           0.25
          53.70           2.19           0.25
          53.71           2.21           0.25
          53.72           2.22           0.25
          53.72           2.23           0.25
          53.73           2.24           0.25
          53.73           2.25           0.24
          53.73           2.26           0.24
          53.74           2.27           0.24
          53.75           2.28           0.24
          53.75           2.30           0.24
          53.76           2.31           0.24
          53.76           2.32           0.24
          53.77           2.33           0.24
          53.77           2.34           0.24
          53.77           2.35           0.24
          53.78           2.37           0.24
          53.79           2.38           0.24
          53.79           2.39           0.24
          53.80           2.40           0.24
          53.80           2.41           0.24
          53.80           2.43           0.24
          53.81           2.44           0.24
          53.81           2.45           0.24
          53.82           2.46           0.24
          53.83           2.48           0.24
          53.83           2.49           0.24
          53.84           2.50           0.24
          53.84           2.51           0.24
          53.84           2.53           0.24
          53.85           2.54           0.24
          53.86           2.55           0.24
          53.86           2.56           0.24
          53.87           2.58           0.24
          53.87           2.59           0.24
          53.88           2.60           0.24
          53.88           2.62           0.24
          53.88           2.63           0.24
          53.89           2.64           0.24
          53.90           2.66           0.24
          53.90           2.67           0.24
          53.91           2.68           0.24
          53.91           2.70           0.24
          53.91           2.71           0.24
          53.92           2.72           0.24
          53.93           2.74           0.24
          53.93           2.75           0.24
          53.94           2.76           0.24
          53.94           2.78           0.24
          53.95           2.79           0.24
          53.95           2.81           0.24
          53.95           2.82           0.24
          53.96           2.83           0.24
          53.97           2.85           0.24
          53.97           2.86           0.24
          53.98           2.88           0.24
          53.98           2.89           0.24
          53.98           2.91           0.24
          53.99           2.92           0.24
          54.00           2.94           0.24
          54.00           2.95           0.24
          54.01           2.97           0.24
          54.01           2.98           0.24
          54.02           3.00           0.24
          54.02           3.01           0.24
          54.02           3.03           0.24
          54.03           3.04           0.24
          54.04           3.06           0.23
          54.04           3.07           0.23
          54.05           3.09           0.23
          54.05           3.10           0.23
          54.05           3.12           0.23
          54.06           3.13           0.23
          54.06           3.15           0.23
          54.07           3.17           0.23
          54.08           3.18           0.23
          54.08           3.20           0.23
          54.09           3.21           0.23
          54.09           3.23           0.23
          54.09           3.25           0.23
          54.10           3.26           0.23
          54.11           3.28           0.23
          54.11           3.30           0.23
          54.12           3.31           0.23
          54.12           3.33           0.23
          54.12           3.35           0.23
          54.13           3.36           0.23
          54.13           3.38           0.23
          54.14           3.40           0.23
          54.15           3.41           0.23
          54.15           3.43           0.23
          54.16           3.45           0.23
          54.16           3.47           0.23
          54.16           3.48           0.23
          54.17           3.50           0.23
          54.18           3.52           0.23
          54.18           3.54           0.23
          54.19           3.55           0.23
          54.19           3.57           0.23
          54.20           3.59           0.23
          54.20           3.61           0.23
          54.20           3.63           0.23
          54.21           3.65           0.23
          54.22           3.66           0.23
          54.22           3.68           0.23
          54.23           3.70           0.23
          54.23           3.72           0.23
          54.23           3.74           0.23
          54.24           3.76           0.23
          54.25           3.78           0.23
          54.25           3.80           0.23
          54.26           3.81           0.23
          54.26           3.83           0.23
          54.27           3.85           0.23
          54.27           3.87           0.23
          54.27           3.89           0.23
          54.28           3.91           0.23
          54.29           3.93           0.23
          54.29           3.95           0.23
          54.30           3.97           0.23
          54.30           3.99           0.23
          54.30           4.01           0.23
          54.31           4.03           0.23
          54.31           4.05           0.23
          54.32           4.07           0.23
          54.33           4.09           0.23
          54.33           4.11           0.23
          54.34           4.13           0.23
          54.34           4.16           0.23
          54.34           4.18           0.23
          54.35           4.20           0.23
          54.36           4.22           0.23
          54.36           4.24           0.23
          54.37           4.26           0.23
          54.37           4.28           0.23
          54.38           4.30           0.23
          54.38           4.33           0.23
          54.38           4.35           0.23
          54.39           4.37           0.23
          54.40           4.39           0.23
          54.40           4.41           0.23
          54.41           4.44           0.23
          54.41           4.46           0.23
          54.41           4.48           0.23
          54.42           4.50           0.23
          54.43           4.53           0.23
          54.43           4.55           0.23
          54.44           4.57           0.23
          54.44           4.60           0.23
          54.45           4.62           0.23
          54.45           4.64           0.23
          54.45           4.67           0.23
          54.46           4.69           0.23
          54.47           4.71           0.23
          54.47           4.74           0.23
          54.48           4.76           0.23
          54.48           4.78           0.23
          54.48           4.81           0.23
          54.49           4.83           0.23
          54.50           4.86           0.23
          54.50           4.88           0.23
          54.51           4.91           0.23
          54.51           4.93           0.23
          54.52           4.96           0.23
          54.52           4.98           0.23
          54.52           5.01           0.23
          54.53           5.03           0.23
          54.54           5.06           0.23
          54.54           5.08           0.23
          54.55           5.11           0.23
          54.55           5.13           0.23
          54.55           5.16           0.24
          54.56           5.19           0.24
          54.56           5.21           0.24
          54.57           5.24           0.24
          54.58           5.26           0.24
          54.58           5.29           0.24
          54.59           5.32           0.24
          54.59           5.34           0.24
          54.59           5.37           0.24
          54.60           5.40           0.24
          54.61           5.43           0.24
          54.61           5.45           0.24
          54.62           5.48           0.24
          54.62           5.51           0.24
          54.62           5.54           0.24
          54.63           5.56           0.24
          54.63           5.59           0.24
          54.64           5.62           0.24
          54.65           5.65           0.24
          54.65           5.68           0.24
          54.66           5.71           0.24
          54.66           5.73           0.24
          54.66           5.76           0.24
          54.67           5.79           0.24
          54.68           5.82           0.24
          54.68           5.85           0.24
          54.69           5.88           0.24
          54.69           5.91           0.24
          54.70           5.94           0.24
          54.70           5.97           0.24
          54.70           6.00           0.24
          54.71           6.03           0.24
          54.72           6.06           0.24
          54.72           6.09           0.24
          54.73           6.12           0.24
          54.73           6.15           0.24
          54.73           6.18           0.24
          54.74           6.21           0.24
          54.75           6.24           0.24
          54.75           6.28           0.24
          54.76           6.31           0.24
          54.76           6.34           0.24
          54.77           6.37           0.24
          54.77           6.40           0.24
          54.77           6.44           0.24
          54.78           6.47           0.24
          54.79           6.50           0.25
          54.79           6.53           0.25
          54.80           6.57           0.25
          54.80           6.60           0.25
          54.80           6.63           0.25
          54.81           6.67           0.25
          54.81           6.70           0.25
          54.82           6.73           0.25
          54.83           6.77           0.25
          54.83           6.80           0.25
          54.84           6.83           0.25
          54.84           6.87           0.25
          54.84           6.90           0.25
          54.85           6.94           0.25
          54.86           6.97           0.25
          54.86           7.01           0.25
          54.87           7.04           0.25
          54.87           7.08           0.25
          54.88           7.11           0.25
          54.88           7.15           0.25
          54.88           7.18           0.25
          54.89           7.22           0.25
          54.90           7.26           0.25
          54.90           7.29           0.25
          54.91           7.33           0.25
          54.91           7.37           0.25
          54.91           7.40           0.25
          54.92           7.44           0.26
          54.93           7.48           0.26
          54.93           7.51           0.26
          54.94           7.55           0.26
          54.94           7.59           0.26
          54.95           7.63           0.26
          54.95           7.67           0.26
          54.95           7.70           0.26
          54.96           7.74           0.26
          54.97           7.78           0.26
          54.97           7.82           0.26
          54.98           7.86           0.26
          54.98           7.90           0.26
          54.98           7.94           0.26
          54.99           7.98           0.26
          55.00           8.02           0.26
          55.00           8.06           0.26
          55.01           8.10           0.26
          55.01           8.14           0.26
          55.02           8.18           0.26
          55.02           8.22           0.27
          55.02           8.26           0.27
          55.03           8.30           0.27
          55.04           8.34           0.27
          55.04           8.38           0.27
          55.05           8.43           0.27
          55.05           8.47           0.27
          55.05           8.51           0.27
          55.06           8.55           0.27
          55.06           8.59           0.27
          55.07           8.64           0.27
          55.08           8.68           0.27
          55.08           8.72           0.27
          55.09           8.77           0.27
          55.09           8.81           0.27
          55.09           8.85           0.27
          55.10           8.90           0.27
          55.11           8.94           0.28
          55.11           8.99           0.28
          55.12           9.03           0.28
          55.12           9.08           0.28
          55.12           9.12           0.28
          55.13           9.17           0.28
          55.13           9.21           0.28
          55.14           9.26           0.28
          55.15           9.30           0.28
          55.15           9.35           0.28
          55.16           9.40           0.28
          55.16           9.44           0.28
          55.16           9.49           0.28
          55.17           9.54           0.29
          55.18           9.58           0.29
          55.18           9.63           0.29
          55.19           9.68           0.29
          55.19           9.73           0.29
          55.20           9.77           0.29
          55.20           9.82           0.29
          55.20           9.87           0.29
          55.21           9.92           0.29
          55.22           9.97           0.29
          55.22          10.02           0.29
          55.23          10.07           0.29
          55.23          10.12           0.30
          55.23          10.16           0.30
          55.24          10.21           0.30
          55.25          10.27           0.30
          55.25          10.32           0.30
          55.26          10.37           0.30
          55.26          10.42           0.30
          55.27          10.47           0.30
          55.27          10.52           0.30
          55.27          10.57           0.30
          55.28          10.62           0.30
          55.29          10.68           0.31
          55.29          10.73           0.31
          55.30          10.78           0.31
          55.30          10.83           0.31
          55.30          10.89           0.31
          55.31          10.94           0.31
          55.31          10.99           0.31
          55.32          11.05           0.31
          55.33          11.10           0.31
          55.33          11.15           0.32
          55.34          11.21           0.32
          55.34          11.26           0.32
          55.34          11.32           0.32
          55.35          11.37           0.32
          55.36          11.43           0.32
          55.36          11.48           0.32
          55.37          11.54           0.32
          55.37          11.60           0.32
          55.38          11.65           0.33
          55.38          11.71           0.33
          55.38          11.77           0.33
          55.39          11.82           0.33
          55.40          11.88           0.33
          55.40          11.94           0.33
          55.41          12.00           0.33
          55.41          12.05           0.34
          55.41          12.11           0.34
          55.42          12.17           0.34
          55.43          12.23           0.34
          55.43          12.29           0.34
          55.44          12.35           0.34
          55.44          12.41           0.34
          55.45          12.47           0.35
          55.45          12.53           0.35
          55.45          12.59           0.35
          55.46          12.65           0.35
          55.47          12.71           0.35
          55.47          12.77           0.35
          55.48          12.83           0.35
          55.48          12.89           0.36
          55.48          12.96           0.36
          55.49          13.02           0.36
          55.50          13.08           0.36
          55.50          13.14           0.36
          55.51          13.21           0.36
          55.51          13.27           0.37
          55.52          13.33           0.37
          55.52          13.40           0.37
          55.52          13.46           0.37
          55.53          13.52           0.37
          55.54          13.59           0.37
          55.54          13.65           0.38
          55.55          13.72           0.38
          55.55          13.78           0.38
          55.55          13.85           0.38
          55.56          13.91           0.38
          55.56          13.98           0.39
          55.57          14.05           0.39
          55.58          14.11           0.39
          55.58          14.18           0.39
          55.59          14.25           0.39
          55.59          14.31           0.40
          55.59          14.38           0.40
          55.60          14.45           0.40
          55.61          14.52           0.40
          55.61          14.59           0.40
          55.62          14.66           0.41
          55.62          14.72           0.41
          55.62          14.79           0.41
          55.63          14.86           0.41
          55.63          14.93           0.41
          55.64          15.00           0.42
          55.65          15.07           0.42
          55.65          15.14           0.42
          55.66          15.21           0.42
          55.66          15.28           0.43
          55.66          15.36           0.43
          55.67          15.43           0.43
          55.68          15.50           0.43
          55.68          15.57           0.44
          55.69          15.64           0.44
          55.69          15.71           0.44
          55.70          15.79           0.44
          55.70          15.86           0.45
          55.70          15.93           0.45
          55.71          16.01           0.45
          55.72          16.08           0.45
          55.72          16.15           0.46
          55.73          16.23           0.46
          55.73          16.30           0.46
          55.73          16.38           0.47
          55.74          16.45           0.47
          55.75          16.53           0.47
          55.75          16.60           0.47
