+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           1.58           0.14           7.35
           1.58           0.14           7.34
           1.59           0.14           7.32
           1.59           0.14           7.31
           1.60           0.14           7.29
           1.60           0.13           7.28
           1.61           0.13           7.27
           1.61           0.13           7.25
           1.62           0.13           7.24
           1.62           0.13           7.22
           1.63           0.13           7.21
           1.64           0.13           7.20
           1.64           0.13           7.18
           1.65           0.12           7.17
           1.65           0.12           7.15
           1.66           0.12           7.14
           1.66           0.12           7.13
           1.67           0.12           7.11
           1.67           0.12           7.10
           1.68           0.12           7.08
           1.68           0.12           7.07
           1.69           0.12           7.06
           1.69           0.12           7.04
           1.70           0.11           7.03
           1.70           0.11           7.02
           1.71           0.11           7.00
           1.71           0.11           6.99
           1.72           0.11           6.98
           1.72           0.11           6.96
           1.73           0.11           6.95
           1.73           0.11           6.93
           1.74           0.11           6.92
           1.74           0.11           6.91
           1.75           0.10           6.89
           1.75           0.10           6.88
           1.76           0.10           6.87
           1.76           0.10           6.85
           1.77           0.10           6.84
           1.77           0.10           6.83
           1.78           0.10           6.81
           1.78           0.10           6.80
           1.79           0.10           6.79
           1.79           0.10           6.77
           1.79           0.10           6.76
           1.80           0.10           6.75
           1.80           0.10           6.73
           1.81           0.09           6.72
           1.81           0.09           6.71
           1.82           0.09           6.70
           1.82           0.09           6.68
           1.83           0.09           6.67
           1.83           0.09           6.66
           1.84           0.09           6.64
           1.84           0.09           6.63
           1.85           0.09           6.62
           1.85           0.09           6.60
           1.86           0.09           6.59
           1.86           0.09           6.58
           1.87           0.09           6.57
           1.88           0.09           6.55
           1.88           0.08           6.54
           1.89           0.08           6.53
           1.89           0.08           6.51
           1.90           0.08           6.50
           1.90           0.08           6.49
           1.91           0.08           6.48
           1.91           0.08           6.46
           1.92           0.08           6.45
           1.92           0.08           6.44
           1.93           0.08           6.43
           1.93           0.08           6.41
           1.94           0.08           6.40
           1.94           0.08           6.39
           1.95           0.08           6.38
           1.95           0.08           6.36
           1.96           0.08           6.35
           1.96           0.08           6.34
           1.97           0.07           6.33
           1.97           0.07           6.31
           1.98           0.07           6.30
           1.98           0.07           6.29
           1.99           0.07           6.28
           1.99           0.07           6.26
           2.00           0.07           6.25
           2.00           0.07           6.24
           2.00           0.07           6.23
           2.01           0.07           6.21
           2.02           0.07           6.20
           2.02           0.07           6.19
           2.02           0.07           6.18
           2.03           0.07           6.17
           2.04           0.07           6.15
           2.04           0.07           6.14
           2.04           0.07           6.13
           2.05           0.07           6.12
           2.06           0.07           6.11
           2.06           0.07           6.09
           2.06           0.07           6.08
           2.07           0.06           6.07
           2.08           0.06           6.06
           2.08           0.06           6.05
           2.08           0.06           6.03
           2.09           0.06           6.02
           2.10           0.06           6.01
           2.10           0.06           6.00
           2.10           0.06           5.99
           2.11           0.06           5.98
           2.12           0.06           5.96
           2.12           0.06           5.95
           2.12           0.06           5.94
           2.13           0.06           5.93
           2.14           0.06           5.92
           2.14           0.06           5.90
           2.15           0.06           5.89
           2.15           0.06           5.88
           2.16           0.06           5.87
           2.16           0.06           5.86
           2.17           0.06           5.85
           2.17           0.06           5.84
           2.18           0.06           5.82
           2.18           0.06           5.81
           2.19           0.06           5.80
           2.19           0.06           5.79
           2.19           0.06           5.78
           2.20           0.05           5.77
           2.21           0.05           5.76
           2.21           0.05           5.74
           2.21           0.05           5.73
           2.22           0.05           5.72
           2.23           0.05           5.71
           2.23           0.05           5.70
           2.23           0.05           5.69
           2.24           0.05           5.68
           2.25           0.05           5.67
           2.25           0.05           5.65
           2.25           0.05           5.64
           2.26           0.05           5.63
           2.27           0.05           5.62
           2.27           0.05           5.61
           2.27           0.05           5.60
           2.28           0.05           5.59
           2.29           0.05           5.58
           2.29           0.05           5.57
           2.29           0.05           5.55
           2.30           0.05           5.54
           2.31           0.05           5.53
           2.31           0.05           5.52
           2.31           0.05           5.51
           2.32           0.05           5.50
           2.33           0.05           5.49
           2.33           0.05           5.48
           2.33           0.05           5.47
           2.34           0.05           5.46
           2.35           0.05           5.45
           2.35           0.05           5.44
           2.35           0.05           5.42
           2.36           0.05           5.41
           2.37           0.05           5.40
           2.37           0.05           5.39
           2.38           0.05           5.38
           2.38           0.04           5.37
           2.39           0.04           5.36
           2.39           0.04           5.35
           2.40           0.04           5.34
           2.40           0.04           5.33
           2.41           0.04           5.32
           2.41           0.04           5.31
           2.42           0.04           5.30
           2.42           0.04           5.29
           2.43           0.04           5.28
           2.43           0.04           5.27
           2.44           0.04           5.26
           2.44           0.04           5.25
           2.44           0.04           5.23
           2.45           0.04           5.22
           2.46           0.04           5.21
           2.46           0.04           5.20
           2.46           0.04           5.19
           2.47           0.04           5.18
           2.48           0.04           5.17
           2.48           0.04           5.16
           2.48           0.04           5.15
           2.49           0.04           5.14
           2.50           0.04           5.13
           2.50           0.04           5.12
           2.50           0.04           5.11
           2.51           0.04           5.10
           2.52           0.04           5.09
           2.52           0.04           5.08
           2.52           0.04           5.07
           2.53           0.04           5.06
           2.54           0.04           5.05
           2.54           0.04           5.04
           2.54           0.04           5.03
           2.55           0.04           5.02
           2.56           0.04           5.01
           2.56           0.04           5.00
           2.56           0.04           4.99
           2.57           0.04           4.98
           2.58           0.04           4.97
           2.58           0.04           4.96
           2.58           0.04           4.95
           2.59           0.04           4.94
           2.60           0.04           4.93
           2.60           0.04           4.92
           2.60           0.04           4.91
           2.61           0.04           4.90
           2.62           0.04           4.89
           2.62           0.04           4.88
           2.62           0.04           4.87
           2.63           0.04           4.86
           2.64           0.04           4.86
           2.64           0.04           4.85
           2.65           0.03           4.84
           2.65           0.03           4.83
           2.66           0.03           4.82
           2.66           0.03           4.81
           2.67           0.03           4.80
           2.67           0.03           4.79
           2.68           0.03           4.78
           2.68           0.03           4.77
           2.69           0.03           4.76
           2.69           0.03           4.75
           2.69           0.03           4.74
           2.70           0.03           4.73
           2.71           0.03           4.72
           2.71           0.03           4.71
           2.71           0.03           4.70
           2.72           0.03           4.69
           2.73           0.03           4.68
           2.73           0.03           4.68
           2.73           0.03           4.67
           2.74           0.03           4.66
           2.75           0.03           4.65
           2.75           0.03           4.64
           2.75           0.03           4.63
           2.76           0.03           4.62
           2.77           0.03           4.61
           2.77           0.03           4.60
           2.77           0.03           4.59
           2.78           0.03           4.58
           2.79           0.03           4.57
           2.79           0.03           4.57
           2.79           0.03           4.56
           2.80           0.03           4.55
           2.81           0.03           4.54
           2.81           0.03           4.53
           2.81           0.03           4.52
           2.82           0.03           4.51
           2.83           0.03           4.50
           2.83           0.03           4.49
           2.83           0.03           4.48
           2.84           0.03           4.48
           2.85           0.03           4.47
           2.85           0.03           4.46
           2.85           0.03           4.45
           2.86           0.03           4.44
           2.87           0.03           4.43
           2.87           0.03           4.42
           2.88           0.03           4.41
           2.88           0.03           4.41
           2.89           0.03           4.40
           2.89           0.03           4.39
           2.90           0.03           4.38
           2.90           0.03           4.37
           2.91           0.03           4.36
           2.91           0.03           4.35
           2.92           0.03           4.34
           2.92           0.03           4.34
           2.93           0.03           4.33
           2.93           0.03           4.32
           2.94           0.03           4.31
           2.94           0.03           4.30
           2.94           0.03           4.29
           2.95           0.03           4.28
           2.96           0.03           4.28
           2.96           0.03           4.27
           2.96           0.03           4.26
           2.97           0.03           4.25
           2.98           0.03           4.24
           2.98           0.03           4.23
           2.98           0.03           4.23
           2.99           0.03           4.22
           3.00           0.03           4.21
           3.00           0.03           4.20
           3.00           0.03           4.19
           3.01           0.03           4.18
           3.02           0.03           4.18
           3.02           0.03           4.17
           3.02           0.03           4.16
           3.03           0.03           4.15
           3.04           0.03           4.14
           3.04           0.03           4.13
           3.04           0.03           4.13
           3.05           0.03           4.12
           3.06           0.03           4.11
           3.06           0.03           4.10
           3.06           0.03           4.09
           3.07           0.03           4.09
           3.08           0.03           4.08
           3.08           0.03           4.07
           3.08           0.03           4.06
           3.09           0.03           4.05
           3.10           0.03           4.04
           3.10           0.03           4.04
           3.10           0.03           4.03
           3.11           0.03           4.02
           3.12           0.03           4.01
           3.12           0.03           4.00
           3.12           0.03           4.00
           3.13           0.03           3.99
           3.14           0.03           3.98
           3.14           0.03           3.97
           3.15           0.03           3.97
           3.15           0.03           3.96
           3.16           0.03           3.95
           3.16           0.02           3.94
           3.17           0.02           3.93
           3.17           0.02           3.93
           3.18           0.02           3.92
           3.18           0.02           3.91
           3.19           0.02           3.90
           3.19           0.02           3.89
           3.20           0.02           3.89
           3.20           0.02           3.88
           3.21           0.02           3.87
           3.21           0.02           3.86
           3.21           0.02           3.86
           3.22           0.02           3.85
           3.23           0.02           3.84
           3.23           0.02           3.83
           3.23           0.02           3.83
           3.24           0.02           3.82
           3.25           0.02           3.81
           3.25           0.02           3.80
           3.25           0.02           3.80
           3.26           0.02           3.79
           3.27           0.02           3.78
           3.27           0.02           3.77
           3.27           0.02           3.77
           3.28           0.02           3.76
           3.29           0.02           3.75
           3.29           0.02           3.74
           3.29           0.02           3.74
           3.30           0.02           3.73
           3.31           0.02           3.72
           3.31           0.02           3.71
           3.31           0.02           3.71
           3.32           0.02           3.70
           3.33           0.02           3.69
           3.33           0.02           3.68
           3.33           0.02           3.68
           3.34           0.02           3.67
           3.35           0.02           3.66
           3.35           0.02           3.65
           3.35           0.02           3.65
           3.36           0.02           3.64
           3.37           0.02           3.63
           3.37           0.02           3.63
           3.38           0.02           3.62
           3.38           0.02           3.61
           3.39           0.02           3.60
           3.39           0.02           3.60
           3.40           0.02           3.59
           3.40           0.02           3.58
           3.41           0.02           3.58
           3.41           0.02           3.57
           3.42           0.02           3.56
           3.42           0.02           3.55
           3.43           0.02           3.55
           3.43           0.02           3.54
           3.44           0.02           3.53
           3.44           0.02           3.53
           3.45           0.02           3.52
           3.45           0.02           3.51
           3.46           0.02           3.51
           3.46           0.02           3.50
           3.46           0.02           3.49
           3.47           0.02           3.48
           3.48           0.02           3.48
           3.48           0.02           3.47
           3.48           0.02           3.46
           3.49           0.02           3.46
           3.50           0.02           3.45
           3.50           0.02           3.44
           3.50           0.02           3.44
           3.51           0.02           3.43
           3.52           0.02           3.42
           3.52           0.02           3.42
           3.52           0.02           3.41
           3.53           0.02           3.40
           3.54           0.02           3.40
           3.54           0.02           3.39
           3.54           0.02           3.38
           3.55           0.02           3.38
           3.56           0.02           3.37
           3.56           0.02           3.36
           3.56           0.02           3.36
           3.57           0.02           3.35
           3.58           0.02           3.34
           3.58           0.02           3.34
           3.58           0.02           3.33
           3.59           0.02           3.32
           3.60           0.02           3.32
           3.60           0.02           3.31
           3.60           0.02           3.30
           3.61           0.02           3.30
           3.62           0.02           3.29
           3.62           0.02           3.28
           3.62           0.02           3.28
           3.63           0.02           3.27
           3.64           0.02           3.26
           3.64           0.02           3.26
           3.65           0.02           3.25
           3.65           0.02           3.24
           3.66           0.02           3.24
           3.66           0.02           3.23
           3.67           0.02           3.22
           3.67           0.02           3.22
           3.68           0.02           3.21
           3.68           0.02           3.21
           3.69           0.02           3.20
           3.69           0.02           3.19
           3.70           0.02           3.19
           3.70           0.02           3.18
           3.71           0.02           3.17
           3.71           0.02           3.17
           3.71           0.02           3.16
           3.72           0.02           3.15
           3.73           0.02           3.15
           3.73           0.02           3.14
           3.73           0.02           3.14
           3.74           0.02           3.13
           3.75           0.02           3.12
           3.75           0.02           3.12
           3.75           0.02           3.11
           3.76           0.02           3.10
           3.77           0.02           3.10
           3.77           0.02           3.09
           3.77           0.02           3.09
           3.78           0.02           3.08
           3.79           0.02           3.07
           3.79           0.02           3.07
           3.79           0.02           3.06
           3.80           0.02           3.06
           3.81           0.02           3.05
           3.81           0.02           3.04
           3.81           0.02           3.04
           3.82           0.02           3.03
           3.83           0.02           3.03
           3.83           0.02           3.02
           3.83           0.02           3.01
           3.84           0.02           3.01
           3.85           0.02           3.00
           3.85           0.02           3.00
           3.85           0.02           2.99
           3.86           0.02           2.98
           3.87           0.02           2.98
           3.87           0.02           2.97
           3.88           0.02           2.97
           3.88           0.02           2.96
           3.89           0.02           2.95
           3.89           0.02           2.95
           3.90           0.02           2.94
           3.90           0.02           2.94
           3.91           0.02           2.93
           3.91           0.02           2.92
           3.92           0.02           2.92
           3.92           0.02           2.91
           3.93           0.02           2.91
           3.93           0.02           2.90
           3.94           0.02           2.90
           3.94           0.02           2.89
           3.95           0.02           2.88
           3.95           0.02           2.88
           3.96           0.02           2.87
           3.96           0.02           2.87
           3.97           0.02           2.86
           3.97           0.02           2.86
           3.98           0.02           2.85
           3.98           0.02           2.84
           3.98           0.02           2.84
           3.99           0.02           2.83
           4.00           0.02           2.83
           4.00           0.02           2.82
           4.00           0.02           2.82
           4.01           0.02           2.81
           4.01           0.02           2.81
           4.02           0.02           2.80
           4.03           0.02           2.79
           4.03           0.02           2.79
           4.04           0.02           2.78
           4.04           0.02           2.78
           4.04           0.02           2.77
           4.05           0.02           2.77
           4.05           0.02           2.76
           4.06           0.02           2.76
           4.07           0.02           2.75
           4.07           0.02           2.74
           4.08           0.02           2.74
           4.08           0.02           2.73
           4.08           0.02           2.73
           4.09           0.02           2.72
           4.09           0.02           2.72
